Date : 2021-01-23 21:10:55
Directory : c:\Users\Connor\Documents\GitHub\Chika
Total : 156 files,  11801 codes, 106 comments, 488 blanks, all 12395 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\utility\poll.ts            | TypeScript |         34 |          0 |          7 |         41 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\utility\serverinfo.ts      | TypeScript |        149 |          0 |          9 |        158 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\utility\userinfo.ts        | TypeScript |        165 |          0 |          9 |        174 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\waifu\switch.ts            | TypeScript |         35 |          0 |          0 |         35 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\waifu\waifu.ts             | TypeScript |         89 |         34 |          6 |        129 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\waifu\waifupack.ts         | TypeScript |         59 |          0 |          2 |         61 |
| c:\Users\Connor\Documents\GitHub\Chika\src\events\guildCreate.ts               | TypeScript |         61 |          0 |          6 |         67 |
| c:\Users\Connor\Documents\GitHub\Chika\src\events\guildDelete.ts               | TypeScript |         55 |          0 |          4 |         59 |
| c:\Users\Connor\Documents\GitHub\Chika\src\events\guildMemberAdd.ts            | TypeScript |         22 |          0 |          1 |         23 |
| c:\Users\Connor\Documents\GitHub\Chika\src\events\guildMemberRemove.ts         | TypeScript |         13 |          0 |          0 |         13 |
| c:\Users\Connor\Documents\GitHub\Chika\src\events\message.ts                   | TypeScript |        123 |          0 |         32 |        155 |
| c:\Users\Connor\Documents\GitHub\Chika\src\events\ready.ts                     | TypeScript |         36 |          9 |          3 |         48 |
| c:\Users\Connor\Documents\GitHub\Chika\src\events\voiceStateUpdate.ts          | TypeScript |         13 |          0 |          1 |         14 |
| c:\Users\Connor\Documents\GitHub\Chika\src\main.ts                             | TypeScript |         31 |          0 |          5 |         36 |
| c:\Users\Connor\Documents\GitHub\Chika\src\structures\Client.ts                | TypeScript |         61 |          0 |          5 |         66 |
| c:\Users\Connor\Documents\GitHub\Chika\src\structures\Database.ts              | TypeScript |          9 |          1 |          1 |         11 |
| c:\Users\Connor\Documents\GitHub\Chika\src\structures\Embeds.ts                | TypeScript |         53 |          0 |         10 |         63 |
| c:\Users\Connor\Documents\GitHub\Chika\src\utils\config.ts                     | TypeScript |        182 |          0 |          6 |        188 |
| c:\Users\Connor\Documents\GitHub\Chika\src\utils\functions.ts                  | TypeScript |        127 |          0 |         21 |        148 |
| c:\Users\Connor\Documents\GitHub\Chika\src\utils\languages\de_de.ts            | TypeScript |        442 |          0 |          0 |        442 |
| c:\Users\Connor\Documents\GitHub\Chika\src\utils\languages\en_us.ts            | TypeScript |        442 |          0 |          0 |        442 |
| c:\Users\Connor\Documents\GitHub\Chika\tsconfig.json                           | JSON       |         17 |          0 |          0 |         17 |
| c:\Users\Connor\Documents\GitHub\Chika\tslint.json                             | JSON       |         11 |          0 |          1 |         12 |
| Total                                                                          |            |     11,801 |        106 |        488 |     12,395 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
