"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "TypeScript", "comment", "blank", "total"
"c:\Users\Connor\Documents\GitHub\Chika\dist\events\guildDelete.js", "JavaScript", 0, 55, 0, 0, 0, 0, 1, 56
"c:\Users\Connor\Documents\GitHub\Chika\dist\events\guildMemberAdd.js", "JavaScript", 0, 26, 0, 0, 0, 0, 1, 27
"c:\Users\Connor\Documents\GitHub\Chika\dist\events\guildMemberRemove.js", "JavaScript", 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Connor\Documents\GitHub\Chika\dist\events\message.js", "JavaScript", 0, 145, 0, 0, 0, 0, 1, 146
"c:\Users\Connor\Documents\GitHub\Chika\dist\events\ready.js", "JavaScript", 0, 41, 0, 0, 0, 9, 1, 51
"c:\Users\Connor\Documents\GitHub\Chika\dist\events\voiceStateUpdate.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\Connor\Documents\GitHub\Chika\dist\main.js", "JavaScript", 0, 49, 0, 0, 0, 0, 1, 50
"c:\Users\Connor\Documents\GitHub\Chika\dist\structures\Client.js", "JavaScript", 0, 68, 0, 0, 0, 0, 1, 69
"c:\Users\Connor\Documents\GitHub\Chika\dist\structures\Database.js", "JavaScript", 0, 31, 0, 0, 0, 1, 1, 33
"c:\Users\Connor\Documents\GitHub\Chika\dist\structures\Embeds.js", "JavaScript", 0, 79, 0, 0, 0, 0, 1, 80
"c:\Users\Connor\Documents\GitHub\Chika\dist\utils\config.js", "JavaScript", 0, 185, 0, 0, 0, 0, 1, 186
"c:\Users\Connor\Documents\GitHub\Chika\dist\utils\functions.js", "JavaScript", 0, 161, 0, 0, 0, 0, 1, 162
"c:\Users\Connor\Documents\GitHub\Chika\dist\utils\languages\de_de.js", "JavaScript", 0, 444, 0, 0, 0, 0, 1, 445
"c:\Users\Connor\Documents\GitHub\Chika\dist\utils\languages\en_us.js", "JavaScript", 0, 444, 0, 0, 0, 0, 1, 445
"c:\Users\Connor\Documents\GitHub\Chika\package-lock.json", "JSON", 1719, 0, 0, 0, 0, 0, 1, 1720
"c:\Users\Connor\Documents\GitHub\Chika\package.json", "JSON", 30, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Connor\Documents\GitHub\Chika\src\bot.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\configuration\autorole.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 4, 40
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\configuration\goodbye.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 6, 62
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\configuration\language.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 4, 35
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\configuration\prefix.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 4, 36
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\configuration\welcome.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 6, 62
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\developer\blacklist.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 1, 33
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\developer\eval.ts", "TypeScript", 0, 0, 0, 0, 36, 3, 3, 42
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\developer\server.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 1, 36
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\developer\update.ts", "TypeScript", 0, 0, 0, 0, 67, 1, 8, 76
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\economy\daily.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 6, 56
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\economy\monthly.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 6, 58
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\economy\weekly.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 6, 58
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\economy\yen.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 1, 25
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\fun\anime.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 3, 47
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\fun\say.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 24
"c:\Users\Connor\Documents\GitHub\Chika\src\commands\fun\ship.ts", "TypeScript", 0, 0, 0, 0, 123, 0, 7, 130
